Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Germany,DEU,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,..,24.18294907,24.74205017,25.58012009,..,25.14987946,..
Germany,DEU,Primary_A,SE.PRM.CUAT.ZS,100,100,100,100,100,100,100,..,100,..
Germany,DEU,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,..,10.74888992,11.03293991,11.50854969,..,11.19859028,..
Germany,DEU,Doctorate_A,SE.TER.CUAT.DO.ZS,..,..,..,..,1.261129975,1.289240003,1.32317996,..,1.252959967,..
Germany,DEU,Primary_E,SE.XPD.PRIM.ZS,13.48298,13.21104,12.8105,12.78433,12.7934,12.93305,12.92094,..,..,..
Germany,DEU,Secondary_E,SE.XPD.SECO.ZS,45.54756,44.55401,43.15876,42.52851,41.96527,41.85471,41.25655,..,..,..
Germany,DEU,Tertiary_E,SE.XPD.TERT.ZS,27.16245,28.12803,26.78422,26.48312,26.58781,25.94906,25.98579,..,..,..
Germany,DEU,Government_EE,SE.XPD.TOTL.GB.ZS,10.26904011,10.66541958,11.03474045,10.98110962,11.10762978,10.99915981,10.91053963,11.02845001,11.22558022,..
Germany,DEU,Secondary_A,SE.SEC.CUAT.PO.ZS,30.25690079,31.14949989,31.79364014,32.33491898,33.42420959,34.4100914,35.65272141,..,35.58818054,..
Germany,DEU,Education_E_PI,SE.XPD.CTOT.ZS,90.4095993,90.80905914,92.42632294,92.60111237,92.93862152,93.20913696,93.27955627,93.05982971,92.48470306,..
France,FRA,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,..,16.39295006,17.66307068,17.40369987,18.00167084,..,19.70054054
France,FRA,Primary_A,SE.PRM.CUAT.ZS,98.43573761,98.44557953,98.4509201,97.8960495,97.5446167,97.52242279,97.62647247,97.56846619,..,97.67228699
France,FRA,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,..,8.351519585,8.767310143,9.102959633,9.495699883,..,10.51393032
France,FRA,Doctorate_A,SE.TER.CUAT.DO.ZS,..,..,..,..,0.712890029,0.76414001,0.804830015,0.836380005,..,0.846279979
France,FRA,Primary_E,SE.XPD.PRIM.ZS,..,..,..,..,..,..,..,..,..,..
